"R"	"threshold"	"wallclock_time"	"p67ci"	"p95ci"	"p99ci"	"p1σ"	"p2σ"	"p3σ"	"mean"	"avg_percent_error"	"dist"	"p"
50	0.05	60.02399999998618	91	100	100	100	100	100	458.2105765533884	-0.002302439786075361	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
50	0.1	17.30399999999213	84	100	100	100	100	100	458.2105765533884	-0.012123283748748381	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
50	0.2	5.279999999994946	86	100	100	100	100	100	458.2105765533884	-0.03668828336994845	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
100	0.05	50.423999999984765	81	99	100	100	100	100	458.2105765533884	-0.001035921744211521	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
100	0.1	14.453999999985202	83	99	100	100	100	100	458.2105765533884	-0.005009484653218488	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
100	0.2	4.68170999999355	92	100	100	100	100	100	458.2105765533884	-0.011212165241562655	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
150	0.05	49.89600000002066	81	98	100	100	100	100	458.2105765533884	-0.0009886364891040778	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
150	0.1	14.700000000016603	83	99	100	100	100	100	458.2105765533884	-0.011709845050396517	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
150	0.2	4.8165600000057855	84	99	100	100	100	100	458.2105765533884	-0.0450810097890908	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
200	0.05	52.428000000001965	73	98	100	100	100	100	458.2105765533884	-0.0004231303703026157	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
200	0.1	15.759000000015957	78	99	100	100	100	100	458.2105765533884	-0.012909731937126523	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
200	0.2	5.438129999995871	77	99	100	100	100	100	458.2105765533884	-0.045800343769954566	"Distributions.Beta(α=1.0, β=99.0)"	0.0021824027012250446
50	0.05	445.5600000000352	87	100	100	100	100	100	4602.867216938907	0.0020543634233897157	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
50	0.1	124.75199999999754	88	100	100	100	100	100	4602.867216938907	-0.010473659049616169	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
50	0.2	35.23199999999648	91	100	100	100	100	100	4602.867216938907	-0.05224304718258366	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
100	0.05	337.85399999996156	86	100	100	100	100	100	4602.867216938907	-0.007454600592737393	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
100	0.1	91.7070000000101	81	100	100	100	100	100	4602.867216938907	-0.011306262639805054	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
100	0.2	33.38345999999683	94	100	100	100	100	100	4602.867216938907	-0.03939098355783455	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
150	0.05	297.48600000001284	86	100	100	100	100	100	4602.867216938907	-0.0026386938884870315	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
150	0.1	82.7820000000054	83	100	100	100	100	100	4602.867216938907	-0.01955166114093365	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
150	0.2	41.786640000009356	93	100	100	100	100	100	4602.867216938907	-0.013922539923866717	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
200	0.05	277.1849999999657	85	100	100	100	100	100	4602.867216938907	0.002277934079437771	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
200	0.1	78.02999999997398	87	100	100	100	100	100	4602.867216938907	-0.001956637886787238	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
200	0.2	50.60678999999515	81	99	100	100	100	100	4602.867216938907	-0.006933709585171144	"Distributions.Beta(α=1.0, β=999.0)"	0.00021725588700884584
50	0.05	4005.791999998876	88	100	100	100	100	100	46049.39923641465	0.0025158305859721564	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
50	0.1	1062.120000000083	91	100	100	100	100	100	46049.39923641465	-0.016710168310546836	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
50	0.2	288.0239999999642	91	99	100	100	100	100	46049.39923641465	-0.046665421405160945	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
100	0.05	2881.460999999335	92	100	100	100	100	100	46049.39923641465	0.0006327177587854838	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
100	0.1	769.7250000002018	89	100	100	100	100	100	46049.39923641465	-0.009612860826059277	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
100	0.2	333.0251099999499	89	99	100	100	100	100	46049.39923641465	-0.03939872895259833	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
150	0.05	2542.3859999990946	93	100	100	100	100	100	46049.39923641465	-0.008540356663559123	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
150	0.1	665.8260000000779	92	100	100	100	100	100	46049.39923641465	-0.0071049239165308364	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
150	0.2	418.3275600002568	86	100	100	100	100	100	46049.39923641465	-0.015807047048480127	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
200	0.05	2273.9879999997543	92	100	100	100	100	100	46049.39923641465	-0.001414942751214232	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
200	0.1	621.5880000002419	90	100	100	100	100	100	46049.39923641465	-0.003437442029462723	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
200	0.2	511.1556599998621	88	100	100	100	100	100	46049.39923641465	-0.016652589861295697	"Distributions.Beta(α=1.0, β=9999.0)"	2.1715809903752805e-5
50	0.05	52.0080000000069	94	100	100	100	100	100	458.2105765533884	-0.005096223667757194	"DWave.DeltaDistribution(δ=0.01, N=1)"	0.0021824027012250446
50	0.1	14.903999999997618	86	100	100	100	100	100	458.2105765533884	-0.011409031982039908	"DWave.DeltaDistribution(δ=0.01, N=1)"	0.0021824027012250446
50	0.2	4.919999999994154	93	100	100	100	100	100	458.2105765533884	-0.052289265408172136	"DWave.DeltaDistribution(δ=0.01, N=1)"	0.0021824027012250446
100	0.05	38.93999999998774	89	100	100	100	100	100	458.2105765533884	-0.005113251124912566	"DWave.DeltaDistribution(δ=0.01, N=1)"	0.0021824027012250446
100	0.1	11.64899999999311	91	100	100	100	100	100	458.2105765533884	-0.01637766534928886	"DWave.DeltaDistribution(δ=0.01, N=1)"	0.0021824027012250446
100	0.2	3.6448499999953747	84	100	100	100	100	100	458.2105765533884	-0.02143537381463978	"DWave.DeltaDistribution(δ=0.01, N=1)"	0.0021824027012250446
150	0.05	34.31399999999683	89	100	100	100	100	100	458.2105765533884	-0.007280812252669966	"DWave.DeltaDistribution(δ=0.01, N=1)"	0.0021824027012250446
150	0.1	10.164000000002218	90	100	100	100	100	100	458.2105765533884	0.003735294372626652	"DWave.DeltaDistribution(δ=0.01, N=1)"	0.0021824027012250446
150	0.2	4.352880000002653	89	100	100	100	100	100	458.2105765533884	-0.028820776983705443	"DWave.DeltaDistribution(δ=0.01, N=1)"	0.0021824027012250446
200	0.05	31.92600000003025	89	100	100	100	100	100	458.2105765533884	-0.0015807039822497426	"DWave.DeltaDistribution(δ=0.01, N=1)"	0.0021824027012250446
200	0.1	10.352999999982622	90	100	100	100	100	100	458.2105765533884	-0.009231950033216751	"DWave.DeltaDistribution(δ=0.01, N=1)"	0.0021824027012250446
200	0.2	5.277479999994876	84	100	100	100	100	100	458.2105765533884	-0.02097555846110244	"DWave.DeltaDistribution(δ=0.01, N=1)"	0.0021824027012250446
50	0.05	449.3279999999702	90	100	100	100	100	100	4602.867216938907	-0.0028627908248965994	"DWave.DeltaDistribution(δ=0.001, N=1)"	0.00021725588700884584
50	0.1	121.77599999996654	87	100	100	100	100	100	4602.867216938907	-0.00993496283434836	"DWave.DeltaDistribution(δ=0.001, N=1)"	0.00021725588700884584
50	0.2	35.03999999999562	91	100	100	100	100	100	4602.867216938907	-0.047873985460856305	"DWave.DeltaDistribution(δ=0.001, N=1)"	0.00021725588700884584
100	0.05	324.38999999994957	90	100	100	100	100	100	4602.867216938907	-0.0070366845179477	"DWave.DeltaDistribution(δ=0.001, N=1)"	0.00021725588700884584
100	0.1	87.71399999995272	89	100	100	100	100	100	4602.867216938907	-0.008377340998508398	"DWave.DeltaDistribution(δ=0.001, N=1)"	0.00021725588700884584
100	0.2	32.986470000007664	90	100	100	100	100	100	4602.867216938907	-0.026518185962171037	"DWave.DeltaDistribution(δ=0.001, N=1)"	0.00021725588700884584
150	0.05	282.7019999999178	90	100	100	100	100	100	4602.867216938907	-0.0046991717804754085	"DWave.DeltaDistribution(δ=0.001, N=1)"	0.00021725588700884584
150	0.1	79.25400000002308	87	100	100	100	100	100	4602.867216938907	-0.009286923289200999	"DWave.DeltaDistribution(δ=0.001, N=1)"	0.00021725588700884584
150	0.2	42.021839999988636	91	100	100	100	100	100	4602.867216938907	-0.019508641867279186	"DWave.DeltaDistribution(δ=0.001, N=1)"	0.00021725588700884584
200	0.05	266.47500000001645	84	100	100	100	100	100	4602.867216938907	-0.002092621257710814	"DWave.DeltaDistribution(δ=0.001, N=1)"	0.00021725588700884584
200	0.1	75.22499999999613	86	100	100	100	100	100	4602.867216938907	-0.02565187737329322	"DWave.DeltaDistribution(δ=0.001, N=1)"	0.00021725588700884584
200	0.2	51.09179999999106	89	100	100	100	100	100	4602.867216938907	-0.016434137934285165	"DWave.DeltaDistribution(δ=0.001, N=1)"	0.00021725588700884584
50	0.05	3980.1359999988426	92	100	100	100	100	100	46049.39923641465	-0.0037770995154065012	"DWave.DeltaDistribution(δ=0.0001, N=1)"	2.1715809903752805e-5
50	0.1	1060.9680000003784	86	100	100	100	100	100	46049.39923641465	-0.01409150171569662	"DWave.DeltaDistribution(δ=0.0001, N=1)"	2.1715809903752805e-5
50	0.2	292.75199999995294	88	100	100	100	100	100	46049.39923641465	-0.042271698286162396	"DWave.DeltaDistribution(δ=0.0001, N=1)"	2.1715809903752805e-5
100	0.05	2866.7759999996524	85	100	100	100	100	100	46049.39923641465	-0.0019485792727935713	"DWave.DeltaDistribution(δ=0.0001, N=1)"	2.1715809903752805e-5
100	0.1	763.2240000001733	90	100	100	100	100	100	46049.39923641465	-0.007053869993981943	"DWave.DeltaDistribution(δ=0.0001, N=1)"	2.1715809903752805e-5
100	0.2	334.70250000005484	86	100	100	100	100	100	46049.39923641465	-0.043251877131050165	"DWave.DeltaDistribution(δ=0.0001, N=1)"	2.1715809903752805e-5
150	0.05	2473.086000000671	90	100	100	100	100	100	46049.39923641465	-0.00323530142663353	"DWave.DeltaDistribution(δ=0.0001, N=1)"	2.1715809903752805e-5
150	0.1	665.1959999998458	90	100	100	100	100	100	46049.39923641465	-0.004909038077171912	"DWave.DeltaDistribution(δ=0.0001, N=1)"	2.1715809903752805e-5
150	0.2	417.1444200000108	91	100	100	100	100	100	46049.39923641465	-0.012421000505763446	"DWave.DeltaDistribution(δ=0.0001, N=1)"	2.1715809903752805e-5
200	0.05	2292.7049999993583	86	100	100	100	100	100	46049.39923641465	-0.0037190890633964635	"DWave.DeltaDistribution(δ=0.0001, N=1)"	2.1715809903752805e-5
200	0.1	618.5279999997381	89	100	100	100	100	100	46049.39923641465	-0.006255705473084516	"DWave.DeltaDistribution(δ=0.0001, N=1)"	2.1715809903752805e-5
200	0.2	510.9893999998904	89	100	100	100	100	100	46049.39923641465	-0.016511464751870264	"DWave.DeltaDistribution(δ=0.0001, N=1)"	2.1715809903752805e-5
50	0.05	9.143999999986201	67	95	99	100	100	100	6.643856189774724	-0.00010794823492066286	"Distributions.Uniform(a=0.0, b=1.0)"	0.1505149978319906
50	0.1	2.6879999999966087	69	94	99	100	100	100	6.643856189774724	-0.004124220613543228	"Distributions.Uniform(a=0.0, b=1.0)"	0.1505149978319906
50	0.2	2.3999999999960493	57	96	100	100	100	100	6.643856189774724	-0.009855171639624016	"Distributions.Uniform(a=0.0, b=1.0)"	0.1505149978319906
100	0.05	11.879999999985264	65	97	100	100	100	100	6.643856189774724	-0.0010783703645138587	"Distributions.Uniform(a=0.0, b=1.0)"	0.1505149978319906
100	0.1	3.365999999994148	72	97	99	100	100	100	6.643856189774724	0.007108807924926741	"Distributions.Uniform(a=0.0, b=1.0)"	0.1505149978319906
100	0.2	3.2999999999937986	64	93	99	100	100	100	6.643856189774724	-0.008416584469419952	"Distributions.Uniform(a=0.0, b=1.0)"	0.1505149978319906
150	0.05	15.162000000025232	73	95	99	100	100	100	6.643856189774724	-0.00013914045448371049	"Distributions.Uniform(a=0.0, b=1.0)"	0.1505149978319906
150	0.1	4.536000000007426	76	99	100	100	100	100	6.643856189774724	0.0069396353676344225	"Distributions.Uniform(a=0.0, b=1.0)"	0.1505149978319906
150	0.2	4.200000000007368	65	97	100	100	100	100	6.643856189774724	0.006182387441352022	"Distributions.Uniform(a=0.0, b=1.0)"	0.1505149978319906
200	0.05	17.951999999998428	64	96	100	100	100	100	6.643856189774724	-0.004317070615191598	"Distributions.Uniform(a=0.0, b=1.0)"	0.1505149978319906
200	0.1	5.354999999990525	60	96	99	100	100	100	6.643856189774724	-0.00713968772290241	"Distributions.Uniform(a=0.0, b=1.0)"	0.1505149978319906
200	0.2	5.099999999990796	69	94	99	100	100	100	6.643856189774724	-0.020814262978832154	"Distributions.Uniform(a=0.0, b=1.0)"	0.1505149978319906
50	0.05	881.5439999999107	89	100	100	100	100	100	9212.64276523514	-0.00222405650072921	"Distributions.Beta(α=0.5, β=1000.0)"	0.00010854648611510298
50	0.1	239.640000000001	91	100	100	100	100	100	9212.64276523514	-0.0177441115098671	"Distributions.Beta(α=0.5, β=1000.0)"	0.00010854648611510298
50	0.2	64.46400000001566	91	99	100	100	100	100	9212.64276523514	-0.010386295305427229	"Distributions.Beta(α=0.5, β=1000.0)"	0.00010854648611510298
100	0.05	647.2290000000006	86	100	100	100	100	100	9212.64276523514	-0.006411870395687247	"Distributions.Beta(α=0.5, β=1000.0)"	0.00010854648611510298
100	0.1	173.44800000003804	89	100	100	100	100	100	9212.64276523514	-0.011704388227264717	"Distributions.Beta(α=0.5, β=1000.0)"	0.00010854648611510298
100	0.2	65.33009999997785	94	100	100	100	100	100	9212.64276523514	-0.015689916041566665	"Distributions.Beta(α=0.5, β=1000.0)"	0.00010854648611510298
150	0.05	572.250000000276	90	100	100	100	100	100	9212.64276523514	-0.0017150851902552056	"Distributions.Beta(α=0.5, β=1000.0)"	0.00010854648611510298
150	0.1	154.9799999999795	84	100	100	100	100	100	9212.64276523514	-0.013089458204230464	"Distributions.Beta(α=0.5, β=1000.0)"	0.00010854648611510298
150	0.2	84.57287999999735	91	100	100	100	100	100	9212.64276523514	-0.02659593193677745	"Distributions.Beta(α=0.5, β=1000.0)"	0.00010854648611510298
200	0.05	534.6839999999098	92	99	100	100	100	100	9212.64276523514	-0.0012513690574442737	"Distributions.Beta(α=0.5, β=1000.0)"	0.00010854648611510298
200	0.1	146.77799999993653	83	99	100	100	100	100	9212.64276523514	-0.012157526616723535	"Distributions.Beta(α=0.5, β=1000.0)"	0.00010854648611510298
200	0.2	102.65789999998931	90	100	100	100	100	100	9212.64276523514	-0.021269935315414656	"Distributions.Beta(α=0.5, β=1000.0)"	0.00010854648611510298
50	0.05	273.4320000000341	64	94	99	100	100	100	419.7774954262474	-0.0011008447205353988	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
