"R"	"threshold"	"wallclock_time"	"p67ci"	"p95ci"	"p99ci"	"p1σ"	"p2σ"	"p3σ"	"mean"	"avg_percent_error"	"dist"	"p"
50	0.1	71.54400000002485	63	95	99	100	100	100	419.7774954262474	-0.024692827931381833	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
50	0.2	16.607999999990923	54	85	93	100	100	100	419.7774954262474	-0.19849875449643295	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
100	0.05	360.4260000001952	71	97	100	100	100	100	419.7774954262474	0.003778756722260468	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
100	0.1	92.07000000000687	63	94	99	100	100	100	419.7774954262474	-0.037992353941098234	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
100	0.2	19.541939999998252	52	78	88	100	100	100	419.7774954262474	-0.2193357719100908	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
150	0.05	450.61800000012386	65	93	100	100	100	100	419.7774954262474	-0.011648535964808415	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
150	0.1	114.99600000001413	56	93	98	100	100	100	419.7774954262474	-0.015314692482778502	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
150	0.2	22.734179999990737	53	76	83	100	100	100	419.7774954262474	-0.2117321250764721	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
200	0.05	543.3540000000013	64	90	98	100	100	100	419.7774954262474	-0.006778439201071018	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
200	0.1	136.01700000001512	64	91	97	100	100	100	419.7774954262474	-0.04394966335255934	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
200	0.2	22.932659999986775	43	63	72	100	100	100	419.7774954262474	-0.3214265511734289	"MixtureModel{Distributions.Beta}(K = 3)
components[1] (prior = 0.2000): Distributions.Beta(α=10.0, β=1000.0)
components[2] (prior = 0.0100): Distributions.Beta(α=1.0, β=1.0)
components[3] (prior = 0.7900): Distributions.Beta(α=0.5, β=100.0)
"	0.0023822144133395892
50	0.05	265.51200000011517	88	100	100	100	100	100	2590.400667399916	-0.0023165397333217985	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.3000): Distributions.Beta(α=33.0, β=7800.0)
components[2] (prior = 0.7000): Distributions.Beta(α=12.0, β=16384.0)
"	0.00038604066644398223
50	0.1	73.4639999999974	91	100	100	100	100	100	2590.400667399916	-0.01768830200287952	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.3000): Distributions.Beta(α=33.0, β=7800.0)
components[2] (prior = 0.7000): Distributions.Beta(α=12.0, β=16384.0)
"	0.00038604066644398223
50	0.2	21.528000000001864	89	100	100	100	100	100	2590.400667399916	-0.055558498022768577	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.3000): Distributions.Beta(α=33.0, β=7800.0)
components[2] (prior = 0.7000): Distributions.Beta(α=12.0, β=16384.0)
"	0.00038604066644398223
100	0.05	200.73899999999296	87	99	100	100	100	100	2590.400667399916	-0.003737975026482765	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.3000): Distributions.Beta(α=33.0, β=7800.0)
components[2] (prior = 0.7000): Distributions.Beta(α=12.0, β=16384.0)
"	0.00038604066644398223
100	0.1	55.53899999999675	86	100	100	100	100	100	2590.400667399916	-0.018955160432859497	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.3000): Distributions.Beta(α=33.0, β=7800.0)
components[2] (prior = 0.7000): Distributions.Beta(α=12.0, β=16384.0)
"	0.00038604066644398223
100	0.2	19.04925000000478	79	99	100	100	100	100	2590.400667399916	-0.0377225275490225	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.3000): Distributions.Beta(α=33.0, β=7800.0)
components[2] (prior = 0.7000): Distributions.Beta(α=12.0, β=16384.0)
"	0.00038604066644398223
150	0.05	174.88800000001035	93	100	100	100	100	100	2590.400667399916	-0.00478724689403176	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.3000): Distributions.Beta(α=33.0, β=7800.0)
components[2] (prior = 0.7000): Distributions.Beta(α=12.0, β=16384.0)
"	0.00038604066644398223
150	0.1	50.31599999999774	88	100	100	100	100	100	2590.400667399916	-0.020938702544526677	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.3000): Distributions.Beta(α=33.0, β=7800.0)
components[2] (prior = 0.7000): Distributions.Beta(α=12.0, β=16384.0)
"	0.00038604066644398223
150	0.2	23.365440000004014	83	100	100	100	100	100	2590.400667399916	-0.007511893064571673	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.3000): Distributions.Beta(α=33.0, β=7800.0)
components[2] (prior = 0.7000): Distributions.Beta(α=12.0, β=16384.0)
"	0.00038604066644398223
200	0.05	170.23799999998812	93	100	100	100	100	100	2590.400667399916	-0.004180451681832675	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.3000): Distributions.Beta(α=33.0, β=7800.0)
components[2] (prior = 0.7000): Distributions.Beta(α=12.0, β=16384.0)
"	0.00038604066644398223
200	0.1	47.480999999998815	85	100	100	100	100	100	2590.400667399916	-0.005327915892944901	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.3000): Distributions.Beta(α=33.0, β=7800.0)
components[2] (prior = 0.7000): Distributions.Beta(α=12.0, β=16384.0)
"	0.00038604066644398223
200	0.2	27.896490000004036	81	99	100	100	100	100	2590.400667399916	0.013845731744136391	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.3000): Distributions.Beta(α=33.0, β=7800.0)
components[2] (prior = 0.7000): Distributions.Beta(α=12.0, β=16384.0)
"	0.00038604066644398223
50	0.05	2302.9439999998467	71	93	100	100	100	100	3070.369577608987	0.002178782749765573	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.9980): Distributions.Beta(α=5.0, β=10000.0)
components[2] (prior = 0.0020): Distributions.Beta(α=2.0, β=2.0)
"	0.0003256936908483629
50	0.1	614.6880000001956	68	98	100	100	100	100	3070.369577608987	-0.007521869172426365	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.9980): Distributions.Beta(α=5.0, β=10000.0)
components[2] (prior = 0.0020): Distributions.Beta(α=2.0, β=2.0)
"	0.0003256936908483629
50	0.2	154.48800000002757	62	94	99	100	100	100	3070.369577608987	-0.13928300143769046	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.9980): Distributions.Beta(α=5.0, β=10000.0)
components[2] (prior = 0.0020): Distributions.Beta(α=2.0, β=2.0)
"	0.0003256936908483629
100	0.05	3075.5010000014104	76	97	99	100	100	100	3070.369577608987	0.0017808426261861632	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.9980): Distributions.Beta(α=5.0, β=10000.0)
components[2] (prior = 0.0020): Distributions.Beta(α=2.0, β=2.0)
"	0.0003256936908483629
100	0.1	797.0489999995475	65	97	99	100	100	100	3070.369577608987	-0.010083250337947103	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.9980): Distributions.Beta(α=5.0, β=10000.0)
components[2] (prior = 0.0020): Distributions.Beta(α=2.0, β=2.0)
"	0.0003256936908483629
100	0.2	204.64356000005625	63	88	97	100	100	100	3070.369577608987	-0.1871333160188986	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.9980): Distributions.Beta(α=5.0, β=10000.0)
components[2] (prior = 0.0020): Distributions.Beta(α=2.0, β=2.0)
"	0.0003256936908483629
150	0.05	3857.322000000749	60	91	100	100	100	100	3070.369577608987	-0.003479650920292565	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.9980): Distributions.Beta(α=5.0, β=10000.0)
components[2] (prior = 0.0020): Distributions.Beta(α=2.0, β=2.0)
"	0.0003256936908483629
150	0.1	1017.828000000032	66	96	100	100	100	100	3070.369577608987	-0.017423851733448847	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.9980): Distributions.Beta(α=5.0, β=10000.0)
components[2] (prior = 0.0020): Distributions.Beta(α=2.0, β=2.0)
"	0.0003256936908483629
150	0.2	227.13977999987134	57	93	96	100	100	100	3070.369577608987	-0.1823441422702503	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.9980): Distributions.Beta(α=5.0, β=10000.0)
components[2] (prior = 0.0020): Distributions.Beta(α=2.0, β=2.0)
"	0.0003256936908483629
200	0.05	4608.156000001469	66	98	99	100	100	100	3070.369577608987	0.004181538630522175	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.9980): Distributions.Beta(α=5.0, β=10000.0)
components[2] (prior = 0.0020): Distributions.Beta(α=2.0, β=2.0)
"	0.0003256936908483629
200	0.1	1187.6370000002125	62	93	99	100	100	100	3070.369577608987	-0.03459316250483613	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.9980): Distributions.Beta(α=5.0, β=10000.0)
components[2] (prior = 0.0020): Distributions.Beta(α=2.0, β=2.0)
"	0.0003256936908483629
200	0.2	270.9364799999621	56	90	97	100	100	100	3070.369577608987	-0.1847304519415951	"MixtureModel{Distributions.Beta}(K = 2)
components[1] (prior = 0.9980): Distributions.Beta(α=5.0, β=10000.0)
components[2] (prior = 0.0020): Distributions.Beta(α=2.0, β=2.0)
"	0.0003256936908483629
50	0.05	163.72799999999745	63	93	99	100	100	100	93.93755170454702	-0.0038646940609130542	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
50	0.1	44.615999999993015	70	97	99	100	100	100	93.93755170454702	-0.0023208731442232455	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
50	0.2	13.560000000003981	71	97	99	100	100	100	93.93755170454702	-0.03263182838620815	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
100	0.05	223.90499999998585	57	95	99	100	100	100	93.93755170454702	-0.012773034891701895	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
100	0.1	62.86500000002173	62	93	99	100	100	100	93.93755170454702	-0.020251414297334458	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
100	0.2	18.41400000000975	67	98	99	100	100	100	93.93755170454702	-0.0119675003256976	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
150	0.05	283.4580000000936	61	100	100	100	100	100	93.93755170454702	0.004517358545010897	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
150	0.1	78.5819999999863	69	93	98	100	100	100	93.93755170454702	-0.02780196245251698	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
150	0.2	22.889999999995766	64	98	100	100	100	100	93.93755170454702	-0.01703495765966645	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
200	0.05	345.7289999998839	66	96	99	100	100	100	93.93755170454702	-0.01594044826533847	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
200	0.1	96.59400000003905	64	96	100	100	100	100	93.93755170454702	-0.01240093429674305	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
200	0.2	28.918530000012563	65	96	99	100	100	100	93.93755170454702	-0.12039537889074392	"MixtureModel{Distributions.Distribution{Distributions.Univariate,Distributions.Continuous}}(K = 2)
components[1] (prior = 0.9500): Distributions.Beta(α=3.0, β=1000.0)
components[2] (prior = 0.0500): DWave.DeltaDistribution(δ=0.9, N=1)
"	0.010645370055472664
